label	expt	timepoint
UCP1	UCP_2018	1
UCP7	UCP_2018	7
UCP9	UCP_2018	9
UCP21	UCP_2018	21
UCP27	UCP_2018	27
UCP37	UCP_2018	37
UCP47	UCP_2018	47
UCP57	UCP_2018	57
UCP67	UCP_2018	67
UCP77	UCP_2018	77
UCP87	UCP_2018	87
UCP97	UCP_2018	97
UCP109	UCP_2018	109
UCP127	UCP_2018	127
UCP147	UCP_2018	147
UCP157	UCP_2018	157
UCP167	UCP_2018	167
UCP187	UCP_2018	187
UCP197	UCP_2018	197
UCP201	UCP_2018	201
UCP203	UCP_2018	203
UIR1	UIR_2018	1
UIR3	UIR_2018	3
UIR7	UIR_2018	7
UIR9	UIR_2018	9
UIR17	UIR_2018	17
UIR21	UIR_2018	21
UIR27	UIR_2018	27
UIR37	UIR_2018	37
UIR47	UIR_2018	47
UIR57	UIR_2018	57
UIR67	UIR_2018	67
UIR97	UIR_2018	97
UIR109	UIR_2018	109
UIR127	UIR_2018	127
UIR157	UIR_2018	157
UIR167	UIR_2018	167
UIR187	UIR_2018	187
UIR217	UIR_2018	217
UIR227	UIR_2018	227
UCP1_2019	UCP_2019	1
UCP5_2019	UCP_2019	5
UCP13_2019	UCP_2019	13
UCP28_2019	UCP_2019	28
UCP40_2019	UCP_2019	40
UCP54_2019	UCP_2019	54
UCP67_2019	UCP_2019	67
UCP81_2019	UCP_2019	81
UCP95_2019	UCP_2019	95
UCP109_2019	UCP_2019	109
UCP123_2019	UCP_2019	123
UCP137_2019	UCP_2019	137
UCP151_2019	UCP_2019	151
UCP172_2019	UCP_2019	172
UCP184_2019	UCP_2019	184
UIR1_2019	UIR_2019	1
UIR8_2019	UIR_2019	8
UIR13_2019	UIR_2019	13
UIR27_2019	UIR_2019	27
UIR38_2019	UIR_2019	38
UIR51_2019	UIR_2019	51
UIR65_2019	UIR_2019	65
UIR77_2019	UIR_2019	77
UIR92_2019	UIR_2019	92
UIR107_2019	UIR_2019	107
UIR119_2019	UIR_2019	119
UIR134_2019	UIR_2019	134
UIR150_2019	UIR_2019	150
UIR163_2019	UIR_2019	163
UIR174_2019	UIR_2019	174
