label	pretty_label	expt	timepoint	clone	keep	ploidy	notes
UCP1a	B18:1(a)	UCP_2018	1	a	T	2	NA
UCP1b	B18:1(b)	UCP_2018	1	b	T	2	NA
UCP1c	B18:1(c)	UCP_2018	1	c	T	2	NA
UCP7a	B18:7(a)	UCP_2018	7	a	T	2	NA
UCP7b	B18:7(b)	UCP_2018	7	b	T	2	NA
UCP9a	B18:9(a)	UCP_2018	9	a	T	2	NA
UCP9b	B18:9(b)	UCP_2018	9	b	T	2	NA
UCP9c	B18:9(c)	UCP_2018	9	c	T	2	NA
UCP27a	B18:27(a)	UCP_2018	27	a	T	2	NA
UCP27b	B18:27(b)	UCP_2018	27	b	T	2	NA
UCP27c	B18:27(c)	UCP_2018	27	c	T	2	NA
UCP47a	B18:47(a)	UCP_2018	47	a	T	2	NA
UCP47b	B18:47(b)	UCP_2018	47	b	T	2	NA
UCP47c	B18:47(c)	UCP_2018	47	c	T	2	NA
UCP57a	B18:57(a)	UCP_2018	57	a	T	2	NA
UCP57b	B18:57(b)	UCP_2018	57	b	T	3	NA
UCP57c	B18:57(c)	UCP_2018	57	c	T	2	NA
UCP77a	B18:77(a)	UCP_2018	77	a	T	2	NA
UCP77b	B18:77(b)	UCP_2018	77	b	T	2	NA
UCP77c	B18:77(c)	UCP_2018	77	c	T	2	NA
UCP87a	B18:87(a)	UCP_2018	87	a	T	2	NA
UCP87b	B18:87(b)	UCP_2018	87	b	T	3	NA
UCP87c	B18:87(c)	UCP_2018	87	c	T	3	NA
UCP109a	B18:109(a)	UCP_2018	109	a	T	2	NA
UCP109b	B18:109(b)	UCP_2018	109	b	T	3	NA
UCP109c	B18:109(c)	UCP_2018	109	c	T	3	NA
UCP147a	B18:147(a)	UCP_2018	147	a	T	3	NA
UCP147b	B18:147(b)	UCP_2018	147	b	T	3	NA
UCP147c	B18:147(c)	UCP_2018	147	c	T	2	NA
UCP167a	B18:167(a)	UCP_2018	167	a	T	2	NA
UCP167b	B18:167(b)	UCP_2018	167	b	T	3	NA
UCP167c	B18:167(c)	UCP_2018	167	c	T	3	NA
UCP197a	B18:197(a)	UCP_2018	197	a	T	3	NA
UCP197b	B18:197(b)	UCP_2018	197	b	T	3	NA
UCP197c	B18:197(c)	UCP_2018	197	c	T	3	NA
UCP201a	B18:201(a)	UCP_2018	201	a	T	3	NA
UCP201b	B18:201(b)	UCP_2018	201	b	T	3	NA
UCP203a	B18:203(a)	UCP_2018	203	a	T	3	NA
UCP203b	B18:203(b)	UCP_2018	203	b	T	3	NA
UCP203c	B18:203(c)	UCP_2018	203	c	T	2	NA
UCP1a_2019	B19:1(a)	UCP_2019	1	a	T	2	NA
UCP1b_2019	B19:1(b)	UCP_2019	1	b	T	2	NA
UCP1c_2019	B19:1(c)	UCP_2019	1	c	T	2	NA
UCP5a_2019	B19:5(a)	UCP_2019	5	a	T	2	NA
UCP5b_2019	B19:5(b)	UCP_2019	5	b	T	2	NA
UCP5c_2019	B19:5(c)	UCP_2019	5	c	T	2	NA
UCP13a_2019	B19:13(a)	UCP_2019	13	a	T	2	NA
UCP13b_2019	B19:13(b)	UCP_2019	13	b	T	2	NA
UCP13c_2019	B19:13(c)	UCP_2019	13	c	T	2	NA
UCP28a_2019	B19:28(a)	UCP_2019	28	a	T	3	NA
UCP28b_2019	B19:28(b)	UCP_2019	28	b	T	3	NA
