cluster	clones	node	is_tip
1	FT-858a	2	TRUE
2	FT-858b	12	TRUE
3	FT-858c	8	TRUE
4	IRA-Da	77	TRUE
5	IRA-Db	73	TRUE
6	PE-2a	41	TRUE
7	PE-2b	23	TRUE
8	PE-2c	48	TRUE
9	SA-1a	145	TRUE
10	SA-1b	144	TRUE
11	SA-1c	143	TRUE
12	UCP1a	54	TRUE
13	UCP1a_2019	139	TRUE
14	UCP1b	51	TRUE
15	UCP1b_2019	132	TRUE
16	UCP1c	24	TRUE
17	UCP1c_2019	127	TRUE
18	UCP5a_2019	135	TRUE
19	UCP5b_2019	125	TRUE
20	UCP5c_2019	126	TRUE
21	UCP7a	22	TRUE
22	UCP7b	19	TRUE
23	UCP9a	34	TRUE
24	UCP9b	55	TRUE
25	UCP9c	18	TRUE
26	UCP13a_2019	137	TRUE
27	UCP13b_2019	128	TRUE
28	UCP13c_2019	131	TRUE
29	UCP27a	44	TRUE
30	UCP27b	42	TRUE
31	UCP27c	43	TRUE
32	UCP28a_2019	99	TRUE
33	UCP28b_2019	98	TRUE
34	UCP40a_2019	134	TRUE
35	UCP40b_2019	136	TRUE
36	UCP47a	28	TRUE
37	UCP47b	33	TRUE
38	UCP47c	35	TRUE
39	UCP54a_2019	129	TRUE
40	UCP54b_2019	133	TRUE
41	UCP57a	53	TRUE
42	UCP57b	97	TRUE
43	UCP57c	52	TRUE
44	UCP67a_2019	130	TRUE
45	UCP77a	57	TRUE
46	UCP77b	32	TRUE
47	UCP77c	30	TRUE
48	UCP81a_2019	124	TRUE
49	UCP81b_2019	138	TRUE
50	UCP87a	123	TRUE
51	UCP87b	96	TRUE
52	UCP87c	107	TRUE
53	UCP95a_2019	119	TRUE
54	UCP95b_2019	120	TRUE
55	UCP109a	29	TRUE
56	UCP109a_2019	109	TRUE
57	UCP109b	108	TRUE
58	UCP109b_2019	117	TRUE
59	UCP109c	102	TRUE
60	UCP137a_2019	116	TRUE
61	UCP137b_2019	112	TRUE
62	UCP147a	113	TRUE
63	UCP147b	101	TRUE
64	UCP147c	122	TRUE
65	UCP151a_2019	118	TRUE
66	UCP151b_2019	100	TRUE
67	UCP167a	121	TRUE
68	UCP167b	105	TRUE
69	UCP167c	110	TRUE
70	UCP172a_2019	114	TRUE
71	UCP172b_2019	103	TRUE
72	UCP184a_2019	115	TRUE
73	UCP184b_2019	106	TRUE
74	UCP184c_2019	111	TRUE
75	UCP197a	95	TRUE
76	UCP197b	92	TRUE
77	UCP197c	93	TRUE
78	UCP201a	94	TRUE
79	UCP201b	90	TRUE
80	UCP203a	91	TRUE
81	UCP203b	104	TRUE
82	UCP203c	89	TRUE
83	UIR1a	27	TRUE
84	UIR1a_2019	9	TRUE
85	UIR1b	47	TRUE
86	UIR1b_2019	1	TRUE
87	UIR1c	141	TRUE
88	UIR1c_2019	5	TRUE
89	UIR3a	45	TRUE
90	UIR3b	49	TRUE
91	UIR3c	4	TRUE
92	UIR7a	13	TRUE
93	UIR7b	140	TRUE
94	UIR8a_2019	21	TRUE
95	UIR8b_2019	31	TRUE
96	UIR8c_2019	70	TRUE
97	UIR9a	17	TRUE
98	UIR9b	3	TRUE
99	UIR9c	20	TRUE
100	UIR13a_2019	37	TRUE
101	UIR13b_2019	36	TRUE
102	UIR17a	6	TRUE
103	UIR17b	39	TRUE
104	UIR17c	11	TRUE
105	UIR27a	56	TRUE
106	UIR27a_2019	50	TRUE
